TimeMicros;AckRecieved;CurrentWidow_Bytes;Difference_Micros;MinDelay_Micros;OurDelay_Micros;Their_Difference_Micros;Their_MinDelay_Micros;Their_Delay_Micros;OffTarget_Micros;DelayFactor;WindowFactor;Gain_Bytes;PacketRtt_Millis;RttVar_Millis;Rtt_Millis;AdvertisedWindow_Bytes;MaxWindow_Bytes;BytesSend;SACK
2605503;92;20608;105106;92025;13081;93025;90503;2522;86919;0.86919;0.07453919384241442;194;198;14;208;2896740;19942;131852;(95 96 97 99)
2606860;93;20608;92315;92025;290;93820;90503;3317;99710;0.9971;0.07300863009622062;218;186;16;206;2895288;20380;131852;(95 96 97 99 100)
2613746;93;20608;96996;92025;4971;94761;90503;4258;95029;0.95029;0.07222767419038273;205;202;13;206;2892384;20585;133304;(95 96 97 98 99 100 101)
2613746;92;20608;96996;92025;4971;94761;90503;4258;95029;0.95029;0.07222767419038273;205;202;13;206;2892384;20585;133304;(96 97)
2630548;93;20608;102936;92025;10911;94885;90503;4382;89089;0.89089;0.07150837988826815;191;199;12;206;2889480;20776;133304;(95 96 97 98 99 100 101 102 103)
2652852;93;22080;106886;92025;14861;105035;90503;14532;85139;0.85139;0.07085098190219484;180;212;11;206;2886576;20956;133284;(95 96 97 98 99 100 101 102 103 104 106)
2652852;106;22080;106886;92025;14861;105035;90503;14532;85139;0.85139;0.07085098190219484;180;212;11;206;2886576;20956;133284
2820687;107;11776;105636;92025;13611;109222;90503;18719;86389;0.86389;0.07024241267417446;182;212;10;206;2902548;21138;152300
3003693;108;22080;97841;92025;5816;90812;90503;309;94184;0.94184;0.06899784381738071;194;188;46;222;2901096;21528;153612;(110)
3016354;112;22080;104564;92025;12539;95606;90503;5103;87461;0.87461;0.06781222647072373;177;195;37;217;2901096;21884;155064;(115)
3018376;115;17664;108267;92025;16242;91490;90503;987;83758;0.83758;0.0672637543410711;169;195;34;215;2899644;22053;160932;(117 121)
3018376;110;17664;108267;92025;16242;91490;90503;987;83758;0.83758;0.0672637543410711;169;195;34;215;2899644;22053;160932;(115)
3023508;118;20608;100599;92025;8574;93499;90503;2996;91426;0.91426;0.06619895664687893;181;196;27;211;2898192;22417;165248;(120 121 122)
3023508;115;20608;100599;92025;8574;93499;90503;2996;91426;0.91426;0.06619895664687893;181;196;27;211;2898192;22417;165248;(117 118 120 121)
3023508;112;20608;100599;92025;8574;93499;90503;2996;91426;0.91426;0.06619895664687893;181;196;27;211;2898192;22417;165248;(114 115 121)
3202658;123;23552;92715;92025;690;104712;90503;14209;99310;0.9931;0.0656644510862292;195;197;24;210;2902548;22612;169564
3216541;123;23552;94738;92025;2713;101903;90503;11400;97287;0.97287;0.06509817795860605;189;198;21;209;2899644;22801;176824;(125 126)
3216661;126;23552;94582;92025;2557;95043;90503;4540;97443;0.97443;0.06455857199245647;188;193;20;207;2898192;22989;176824;(129 130 133)
3216661;133;23552;94582;92025;2557;95043;90503;4540;97443;0.97443;0.06455857199245647;188;193;20;207;2898192;22989;176824
3216661;123;23552;94582;92025;2557;95043;90503;4540;97443;0.97443;0.06455857199245647;188;193;20;207;2898192;22989;176824;(125 126 129 130)
3216661;127;23552;94582;92025;2557;95043;90503;4540;97443;0.97443;0.06455857199245647;188;193;20;207;2898192;22989;176824;(129 130 131 133)
3231203;134;23552;102642;92025;10617;100425;90503;9922;89383;0.89383;0.06403062334159816;171;203;16;207;2902548;23160;191344
3411069;139;23552;109191;92025;17166;92845;90503;2342;82834;0.82834;0.06312990521936784;156;191;14;205;2898192;23473;192796;(142 143 144)
3411069;134;23552;109191;92025;17166;92845;90503;2342;82834;0.82834;0.06312990521936784;156;191;14;205;2898192;23473;192796;(136 138)
3411069;138;23552;109191;92025;17166;92845;90503;2342;82834;0.82834;0.06312990521936784;156;191;14;205;2898192;23473;192796;(143)
3414853;144;19136;97395;92025;5370;90987;90503;484;94630;0.9463;0.06271034805947258;178;188;14;203;2899644;23651;200116;(148 149)
3414853;136;19136;97395;92025;5370;90987;90503;484;94630;0.9463;0.06271034805947258;178;188;14;203;2899644;23651;200116
3414853;138;19136;97395;92025;5370;90987;90503;484;94630;0.9463;0.06271034805947258;178;188;14;203;2899644;23651;200116;(142 143 144)
3414853;139;19136;97395;92025;5370;90987;90503;484;94630;0.9463;0.06271034805947258;178;188;14;203;2899644;23651;200116;(141 142 143 144 149)
3428936;146;25024;106138;92025;14113;98671;90503;8168;85887;0.85887;0.0622383831550463;160;205;11;203;2899644;23811;207296;(148 149)
3439653;150;25024;107337;92025;15312;99658;90503;9155;84688;0.84688;0.06182016714963672;157;207;10;203;2902548;23968;210200
3602878;151;25024;93132;92342;790;90186;90186;0;99210;0.9921;0.06095238095238095;181;183;12;200;2899644;24331;216008;(157 158)
3602878;151;25024;93132;92342;790;90186;90186;0;99210;0.9921;0.06095238095238095;181;183;12;200;2899644;24331;216008
3615661;159;25024;102394;92342;10052;94862;90186;4676;89948;0.89948;0.06049895195429699;163;193;11;200;2902548;24494;217460
3621917;159;20608;98813;92342;6471;99557;90186;9371;93529;0.93529;0.06009635012656161;168;198;9;200;2901096;24662;229136;(161)
3621917;152;20608;98813;92342;6471;99557;90186;9371;93529;0.93529;0.06009635012656161;168;198;9;200;2901096;24662;229136;(157 158 159)
3625565;162;25024;108432;92342;16090;94686;90186;4500;83910;0.8391;0.05968696780471981;150;195;8;200;2902548;24812;229076
3625565;154;25024;108432;92342;16090;94686;90186;4500;83910;0.8391;0.05968696780471981;150;195;8;200;2902548;24812;229076;(157 158 159)
3637444;162;25024;94855;92342;2513;99174;90186;8988;97487;0.97487;0.059326132516524265;173;195;8;200;2899644;24985;233432;(165 166)
3637444;166;25024;94855;92342;2513;99174;90186;8988;97487;0.97487;0.059326132516524265;173;195;8;200;2899644;24985;233432
3816089;168;25024;94241;92342;1899;99345;90186;9159;98101;0.98101;0.05851021543842913;172;197;8;201;2896740;25330;239240;(170 172 173 175)
3816089;168;25024;94241;92342;1899;99345;90186;9159;98101;0.98101;0.05851021543842913;172;197;8;201;2896740;25330;239240;(170 172)
3816089;167;25024;94241;92342;1899;99345;90186;9159;98101;0.98101;0.05851021543842913;172;197;8;201;2896740;25330;239240;(170)
3822445;170;26496;94285;92342;1943;101226;90186;11040;98057;0.98057;0.05811290959336755;170;195;8;201;2896740;25500;242124;(172 173 175 177)
3828357;170;26496;104670;92342;12328;101614;90186;11428;87672;0.87672;0.05772549019607843;151;206;8;201;2893836;25651;245028;(172 173 174 175 176 177)
3839382;177;26496;103656;92342;11314;107074;90186;16888;88686;0.88686;0.05738567697165803;152;210;8;202;2901096;25803;245028;(179)
3850617;179;26496;94716;92342;2374;98134;90186;7948;97626;0.97626;0.057047630120528624;167;192;8;201;2901096;25970;255192;(182)
3853951;180;26496;105875;92342;13533;92704;90186;2518;86467;0.86467;0.05636175671018877;146;195;7;201;2899644;26263;258096;(182 183)
3853951;183;26496;105875;92342;13533;92704;90186;2518;86467;0.86467;0.05636175671018877;146;195;7;201;2899644;26263;258096
3853951;183;26496;105875;92342;13533;92704;90186;2518;86467;0.86467;0.05636175671018877;146;195;7;201;2899644;26263;258096
4017848;186;26496;102447;92342;10105;98808;90186;8622;89895;0.89895;0.05604843315691277;151;199;6;201;2902548;26414;263904
4030594;188;26496;107334;92342;14992;98429;90186;8243;85008;0.85008;0.05572802301809646;142;205;6;201;2902548;26556;268260
4038632;192;27968;95639;92342;3297;95756;90186;5570;96703;0.96703;0.05509806857313969;159;192;6;200;2899644;26875;271144;(194 195)
4038632;190;27968;95639;92342;3297;95756;90186;5570;96703;0.96703;0.05509806857313969;159;192;6;200;2899644;26875;271144
4038632;191;27968;95639;92342;3297;95756;90186;5570;96703;0.96703;0.05509806857313969;159;192;6;200;2899644;26875;271144;(194)
4048334;198;27968;102747;92342;10405;92458;90186;2272;89595;0.89595;0.054772093023255815;147;193;6;200;2902548;27022;276952
4048334;195;27968;102747;92342;10405;92458;90186;2272;89595;0.89595;0.054772093023255815;147;193;6;200;2902548;27022;276952;(198)
4200104;198;27968;91143;91143;0;97234;90186;7048;100000;1.0;0.05447413218858708;163;189;7;199;2899644;27185;285664;(200 201)
4223266;202;27968;94468;91143;3325;109619;90186;19433;96675;0.96675;0.05414750781681074;157;204;7;199;2902548;27342;285664
4230292;206;27968;95735;91143;4592;92479;90186;2293;95408;0.95408;0.05353505964503928;153;190;6;198;2899644;27649;291472;(208 210)
4230292;204;27968;95735;91143;4592;92479;90186;2293;95408;0.95408;0.05353505964503928;153;190;6;198;2899644;27649;291472
4230292;205;27968;95735;91143;4592;92479;90186;2293;95408;0.95408;0.05353505964503928;153;190;6;198;2899644;27649;291472;(208)
4237948;211;27968;105067;91143;13924;91623;90186;1437;86076;0.86076;0.05297631900957317;136;182;8;196;2901096;27922;297280;(217)
4244653;213;27968;98299;91143;7156;95339;90186;5153;92844;0.92844;0.05271828665568369;146;193;7;196;2901096;28068;304540;(217)
4244653;208;27968;98299;91143;7156;95339;90186;5153;92844;0.92844;0.05271828665568369;146;193;7;196;2901096;28068;304540;(210 211)
4264154;213;29440;102971;91143;11828;106667;90186;16481;88172;0.88172;0.052444064414992164;138;210;8;197;2898192;28206;307424;(215 216 217)
4412815;218;29440;93676;91143;2533;94490;90186;4304;97467;0.97467;0.052187477841593985;152;188;8;196;2902548;28358;307424
4420801;218;29440;96516;91143;5373;92490;90186;2304;94627;0.94627;0.051907750899217155;147;189;8;196;2899644;28505;314684;(222 223)
4429531;225;29440;97172;91143;6029;90852;90186;666;93971;0.93971;0.051378708551483424;144;188;7;195;2901096;28794;314684;(228)
4429531;220;29440;97172;91143;6029;90852;90186;666;93971;0.93971;0.051378708551483424;144;188;7;195;2901096;28794;314684;(222 223 224 225)
