TimeMicros;AckRecieved;CurrentWidow_Bytes;Difference_Micros;MinDelay_Micros;OurDelay_Micros;Their_Difference_Micros;Their_MinDelay_Micros;Their_Delay_Micros;OffTarget_Micros;DelayFactor;WindowFactor;Gain_Bytes;PacketRtt_Millis;RttVar_Millis;Rtt_Millis;AdvertisedWindow_Bytes;MaxWindow_Bytes;BytesSend;SACK
0;3;2944;99576;99576;0;102122;102122;0;100000;1.0;0.9813333333333333;2944;201;199;901;2942528;4444;-40
202463;4;5888;94741;94741;0;105196;102122;3074;100000;1.0;0.33123312331233123;993;200;324;814;2942528;5437;2824
204944;6;5888;99791;95452;4339;101411;101411;0;95661;0.95661;0.2707375390840537;776;200;396;738;2902548;6213;4276
405920;7;7360;91351;91351;0;108105;101411;6694;100000;1.0;0.21262458471760798;637;199;410;634;2901096;7560;7160;(9)
418593;10;8832;107841;91351;16490;103099;101411;1688;83510;0.8351;0.19470899470899472;487;211;413;582;2902548;8047;8592
602347;11;8832;91959;91351;608;101831;101411;420;99392;0.99392;0.1713221601489758;510;193;359;514;2901096;9102;12948;(13)
610790;13;10304;109526;98834;10692;93928;93928;0;89308;0.89308;0.16172269830806416;433;189;351;474;2901096;9535;14380;(15)
633238;16;10304;105414;98834;6580;107670;93928;13742;93420;0.9342;0.15437860513896173;432;210;330;441;2902548;9967;17284
810843;18;10304;99905;98834;1071;107105;93928;13177;98929;0.98929;0.14768736831544096;438;206;307;412;2902548;10405;21640
818020;20;11776;110147;98834;11313;94601;93928;673;88687;0.88687;0.1414704469005286;376;204;283;386;2902548;10781;24524
841247;20;11776;95584;95584;0;109717;93928;15789;100000;1.0;0.13653649939708748;409;205;258;364;2899644;11190;27428;(22 23)
1004208;24;11776;90670;90670;0;101270;93928;7342;100000;1.0;0.13154602323503128;394;192;237;343;2902548;11584;27428
1009636;26;11776;103925;92362;11563;92236;92236;0;88437;0.88437;0.1270718232044199;337;195;215;325;2902548;11921;33236
1022875;28;13248;100701;92362;8339;102671;92236;10435;91661;0.91661;0.12347957386125324;339;202;192;310;2902548;12260;36120
1210243;31;13248;103044;92362;10682;95047;92236;2811;89318;0.89318;0.1170018281535649;313;198;153;285;2898192;12894;39024;(34 35 36)
1210243;36;13248;103044;92362;10682;95047;92236;2811;89318;0.89318;0.1170018281535649;313;198;153;285;2898192;12894;39024
1210243;31;13248;103044;92362;10682;95047;92236;2811;89318;0.89318;0.1170018281535649;313;198;153;285;2898192;12894;39024;(35)
1210243;28;13248;103044;92362;10682;95047;92236;2811;89318;0.89318;0.1170018281535649;313;198;153;285;2898192;12894;39024;(30 35)
1400983;38;13248;90508;90508;0;98553;92236;6317;100000;1.0;0.11416162556227703;342;189;139;273;2902548;13236;50640
1413512;38;13248;92388;90508;1880;100372;92236;8136;98120;0.9812;0.11121184647929888;327;199;123;264;2899644;13563;53544;(40 45)
1413512;38;13248;92388;90508;1880;100372;92236;8136;98120;0.9812;0.11121184647929888;327;199;123;264;2899644;13563;53544
1418396;42;14720;106728;90508;16220;94914;92236;2678;83780;0.8378;0.10639681966028189;267;199;96;249;2899644;14102;53524;(44 45)
1418396;40;14720;106728;90508;16220;94914;92236;2678;83780;0.8378;0.10639681966028189;267;199;96;249;2899644;14102;53524;(42 45)
1603012;45;14720;93635;90508;3127;105694;92236;13458;96873;0.96873;0.10438235711246632;303;199;85;243;2901096;14405;59332;(47)
1621351;47;14720;90399;90399;0;108222;92236;15986;100000;1.0;0.1021867407150295;306;198;75;238;2901096;14711;63688;(52)
1621351;52;14720;90399;90399;0;108222;92236;15986;100000;1.0;0.1021867407150295;306;198;75;238;2901096;14711;63688
1621351;48;14720;90399;90399;0;108222;92236;15986;100000;1.0;0.1021867407150295;306;198;75;238;2901096;14711;63688;(51 52)
1806611;54;14720;107558;90399;17159;94576;92236;2340;82841;0.82841;0.10006117870980899;248;201;66;234;2902548;14959;73852
1807703;56;11776;93873;91534;2339;91101;91101;0;97661;0.97661;0.09840229961895848;288;185;62;228;2902548;15247;76796
1832335;58;16192;102063;91534;10529;106252;91101;15151;89471;0.89471;0.09654358234406768;259;204;53;225;2902548;15506;79640
1838238;59;16192;102220;91534;10686;102876;91101;11775;89314;0.89314;0.09340101522842639;250;205;38;221;2901096;16010;82544;(62)
1838238;62;16192;102220;91534;10686;102876;91101;11775;89314;0.89314;0.09340101522842639;250;205;38;221;2901096;16010;82544
1996523;63;16192;94324;92132;2192;90503;90503;0;97808;0.97808;0.09042324467104859;265;185;36;213;2901096;16544;88352;(66)
2006892;63;17664;100092;92132;7960;93858;90503;3355;92040;0.9204;0.08897485493230174;245;196;32;211;2898192;16789;89784;(65 66 67)
2027856;72;17664;92025;92025;0;91162;90503;659;100000;1.0;0.08767645482160939;263;183;31;208;2902548;17052;89784
2027856;67;17664;92025;92025;0;91162;90503;659;100000;1.0;0.08767645482160939;263;183;31;208;2902548;17052;89784;(69)
2027856;70;17664;92025;92025;0;91162;90503;659;100000;1.0;0.08767645482160939;263;183;31;208;2902548;17052;89784
2205360;73;17664;98746;92025;6721;107460;90503;16957;93279;0.93279;0.08512114728502862;238;206;51;224;2901096;17531;102852;(75)
2205360;75;17664;98746;92025;6721;107460;90503;16957;93279;0.93279;0.08512114728502862;238;206;51;224;2901096;17531;102852
2218395;76;17664;96576;92025;4551;92461;90503;1958;95449;0.95449;0.08283157953969951;237;184;45;216;2901096;18008;107208;(81)
2232982;78;19136;96585;92025;4560;105805;90503;15302;95440;0.9544;0.08174144824522435;234;201;38;215;2901096;18242;108640;(81)
2233103;79;16192;92237;92025;212;103232;90503;12729;99788;0.99788;0.07964075096034194;238;195;30;212;2899644;18721;111584;(81 84)
2238863;79;19136;106089;92025;14064;97571;90503;7068;85936;0.85936;0.07862827840393141;202;203;25;211;2896740;18923;112996;(81 82 83 84)
2403497;85;19136;97681;92025;5656;98931;90503;8428;94344;0.94344;0.07778893410135813;220;196;23;210;2902548;19143;112996
2419345;87;20608;103575;92025;11550;101981;90503;11478;88450;0.8845;0.07689494854516012;204;204;19;210;2902548;19347;121688
2430127;89;20608;99778;92025;7753;109276;90503;18773;92247;0.92247;0.07608414741303561;210;209;15;210;2902548;19557;124592
2439468;92;20608;107318;92025;15293;95160;90503;4657;84707;0.84707;0.07526716776601729;191;202;14;209;2902548;19748;127496
2439468;89;20608;107318;92025;15293;95160;90503;4657;84707;0.84707;0.07526716776601729;191;202;14;209;2902548;19748;127496;(91)
